id,no_of_persons,no_of_persons:confidence,person_plural,person_plural:confidence,person_singular_dom,person_singular_dom:confidence,person_singular_nondom,person_singular_nondom:confidence,image_url
882949556,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/0/04/Dom_Sakristei_Brixen_2005-12-13.jpg
882949557,several_persons_no_single_persons_depiction_is_dominant,1,only_male,1,,0,,0,http://upload.wikimedia.org/wikipedia/commons/e/e0/Bundesarchiv_Bild_183-R92793%2C_Brunnenbauer.jpg
882949558,several_persons_no_single_persons_depiction_is_dominant,1,only_male,1,,0,,0,http://upload.wikimedia.org/wikipedia/commons/7/75/Taban_Air%27s_McDonnell_Douglas_MD-82.jpg
882949559,one_person,1,,0,,0,"gender_is_not_recognizable
male","0.6667
0.3333",http://upload.wikimedia.org/wikipedia/commons/9/9e/Defense.gov_News_Photo_060803-F-2907C-107.jpg
882949560,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/de/f/f9/Stein-Kopierfraeser.JPG
882949561,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/de/6/69/Steinarbeit.JPG
882949562,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/de/3/3c/Kopier-Auto.jpg
882949563,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/6/65/Kopierfraeser1.jpg
882949564,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/7/7f/Kopierfr%C3%A4ser-Spanien.jpg
882949565,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/c/cf/Staatstheater_Darmstadt_Mahlerwerckstadt.jpg
882949566,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/c/cd/Korbmacher01.jpg
882949567,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/5/52/Korbflechter_auf_Mittelaltermarkt.jpg
882949568,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/c/c7/K%C3%BCrschnerflechten%2C_Hermann_Weide%2C_Korbmachermeister%2C_R%C3%B6tha_bei_Leipzig%2C_Anzeige1921.jpg
882949569,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/d/dd/Flechte_auf_Stechkarre.jpg
882949570,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/9/94/2011_12_30_Hauptschule_technische_Schiffsingausbildung_farbe.JPG
882949571,"one_person
no_person","0.6667
0.3333",,0,,0,"male
gender_is_not_recognizable","0.3333
0.3333",http://upload.wikimedia.org/wikipedia/commons/2/2c/ZSG_-_Stadt_Z%C3%BCrich_2010-06-20_18-45-38.JPG
882949572,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/9/92/Walldorf_Wappenbaum_Wappen_KFZ-Handwerk.JPG
882949573,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/3/3a/Fahrwerksvermessung.jpg
882949574,several_persons_no_single_persons_depiction_is_dominant,1,"only_male
mixed_but_predominantly_male_persons","0.6667
0.3333",,0,,0,http://upload.wikimedia.org/wikipedia/commons/2/2e/Fotothek_df_roe-neg_0006247_022_Kraftfahrzeugschlosser_bei_der_Reparatur_eines_M.jpg
882949575,several_persons_but_one_persons_depiction_is_dominant,1,,0,male,1,,0,http://upload.wikimedia.org/wikipedia/commons/9/93/Bundesarchiv_B_145_Bild-F010147-0011%2C_Salzgitter_AG%2C_Bedienung_F%C3%B6rdermaschine.jpg
882949576,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/3/37/Foerdermaschine_02.JPG
882949577,several_persons_no_single_persons_depiction_is_dominant,1,"mixed_but_predominantly_male_persons
mixed_equal_amount_of_male_and_female_persons","0.6875
0.3125",,0,,0,http://upload.wikimedia.org/wikipedia/commons/3/34/Sir_John_Everett_Millais_002.jpg
882949578,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/7/7e/ZimmererSiegel.jpg
882949579,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/7/7e/Noe_carpenters_tools.jpg
