,labor_market_woman,Bias,Bias2,WikiName,Ambigious,Name,Oppositgender,Profession_name,NormalizedGoogleDif,l_m_without_outliers,NormalizedGoogleDif2
Fachtierarzt,72.8797953964,male,0,Fachtierarzt,0,Fachtierarzt,Fachtierärztin,Fachtierarzt,0.500635862654,72.8797953964,0.500635862654
Fachverkäufer im Lebensmittelhandwerk,72.0206153296,male,0,Fachverkäufer im Lebensmittelhandwerk,0,Fachverkäufer im Lebensmittelhandwerk,Fachverkäuferin im Lebensmittelhandwerk,Fachverkäufer im Lebensmittelhandwerk,0.399317406143,72.0206153296,0.399317406143
Fachverkäufer im Lebensmittelhandwerk (Fleischerei),92.3912445691,male,0,Fachverkäufer im Lebensmittelhandwerk (Fleischerei),0,Fachverkäufer im Lebensmittelhandwerk (Fleischerei),Fachverkäuferin im Lebensmittelhandwerk (Fleischerei),Fachverkäufer im Lebensmittelhandwerk (Fleischerei),0.385579937304,92.3912445691,0.385579937304
Fachwirt,59.7982510844,male,0,Fachwirt,0,Fachwirt,Fachwirtin,Fachwirt,0.69933396765,59.7982510844,0.69933396765
Fachzahnarzt,66.0346097202,male,0,Fachzahnarzt,0,Fachzahnarzt,Fachzahnärztin,Fachzahnarzt,0.388601036269,66.0346097202,0.388601036269
Fahrbahnmarkierer,2.21180663155,male,0,Fahrbahnmarkierer,0,Fahrbahnmarkierer,Fahrbahnmarkiererin,Fahrbahnmarkierer,0.966386554622,2.21180663155,0.966386554622
Fahrlehrer,13.4048438238,male,0,Fahrlehrer,0,Fahrlehrer,Fahrlehrerin,Fahrlehrer,0.884644573741,13.4048438238,0.884644573741
Fahrradmonteur,4.72055030095,male,0,Fahrradmonteur,0,Fahrradmonteur,Fahrradmonteurin,Fahrradmonteur,0.923484046575,4.72055030095,0.923484046575
Fahrzeuginnenausstatter,44.4552466135,male,0,Fahrzeuginnenausstatter,0,Fahrzeuginnenausstatter,Fahrzeuginnenausstatterin,Fahrzeuginnenausstatter,0.846607669617,44.4552466135,0.846607669617
Fahrzeuglackierer,6.22029488291,male,0,Fahrzeuglackierer,0,Fahrzeuglackierer,Fahrzeuglackiererin,Fahrzeuglackierer,0.920438957476,6.22029488291,0.920438957476
Fallmanager,66.3964145433,male,0,Fallmanager,0,Fallmanager,Fallmanagerin,Fallmanager,0.543062200957,66.3964145433,0.543062200957
Fassadenmonteur,1.2849391531,male,0,Fassadenmonteur,0,Fassadenmonteur,Fassadenmonteurin,Fassadenmonteur,0.816246896062,1.2849391531,0.816246896062
Federmacher,12.937104197,male,0,Federmacher,0,Federmacher,Federmacherin,Federmacher,0.859022556391,12.937104197,0.859022556391
Feinoptiker,42.1704511943,male,0,Feinoptiker,0,Feinoptiker,Feinoptikerin,Feinoptiker,0.650902837489,42.1704511943,0.650902837489
Feinpolierer,6.28800778399,male,0,Feinpolierer,0,Feinpolierer,Feinpoliererin,Feinpolierer,0.829694323144,6.28800778399,0.829694323144
Feintäschner,48.3291210334,male,0,Feintäschner,0,Feintäschner,Feintäschnerin,Feintäschner,0.896907216495,48.3291210334,0.896907216495
Feinwerkmechaniker,14.6782915793,male,0,Feinwerkmechaniker,0,Feinwerkmechaniker,Feinwerkmechanikerin,Feinwerkmechaniker,0.930708999249,14.6782915793,0.930708999249
Feldwebel,43.2896890344,male,0,Feldwebel,0,Feldwebel,Feldwebelin,Feldwebel,0.99863364188,43.2896890344,0.99863364188
Fernmeldehandwerker,11.4381605553,male,0,Fernmeldehandwerker,0,Fernmeldehandwerker,Fernmeldehandwerkerin,Fernmeldehandwerker,0.959183673469,11.4381605553,0.959183673469
Fertigungsmechaniker,21.0325537037,male,0,Fertigungsmechaniker,0,Fertigungsmechaniker,Fertigungsmechanikerin,Fertigungsmechaniker,0.885121752301,21.0325537037,0.885121752301
Feuerungs- und Schornsteinbauer,1.2849391531,male,0,Feuerungs- und Schornsteinbauer,0,Feuerungs- und Schornsteinbauer,Feuerungs- und Schornsteinbauerin,Feuerungs- und Schornsteinbauer,0.870229007634,1.2849391531,0.870229007634
Figurenkeramformer,16.735966736,male,0,Figurenkeramformer,0,Figurenkeramformer,Figurenkeramformerin,Figurenkeramformer,0.653259361997,16.735966736,0.653259361997
Film- und Videoeditor,26.5236833389,male,0,Film- und Videoeditor,0,Film- und Videoeditor,Film- und Videoeditorin,Film- und Videoeditor,0.686316541622,26.5236833389,0.686316541622
Film- und Videolaborant,57.881773399,male,0,Film- und Videolaborant,0,Film- und Videolaborant,Film- und Videolaborantin,Film- und Videolaborant,0.756097560976,57.881773399,0.756097560976
Filmgeschäftsführung,40.1872883044,neutral,1,Filmgeschäftsführung,0,Filmgeschäftsführer,Filmgeschäftsführerin,Filmgeschäftsführer,0.536231884058,40.1872883044,0.536231884058
Filmkopienfertiger,57.881773399,male,0,Filmkopienfertiger,0,Filmkopienfertiger,Filmkopienfertigerin,Filmkopienfertiger,0.963636363636,57.881773399,0.963636363636
Filmregisseur,50.9119332986,male,0,Filmregisseur,0,Film-Regisseur,Film-Regisseurin,Film-Regisseur,0.878619994963,50.9119332986,0.878619994963
Filmvorführer,16.156507852,male,0,Filmvorführer,0,Filmvorführer,Filmvorführerin,Filmvorführer,0.823564239195,16.156507852,0.823564239195
Finanzberater,44.3380220021,male,0,Finanzberater,0,Finanzberater,Finanzberaterin,Finanzberater,0.913996627319,44.3380220021,0.913996627319
Finanzmakler,44.3380220021,male,0,Finanzmakler,0,Finanzmakler,Finanzmaklerin,Finanzmakler,0.928205128205,44.3380220021,0.928205128205
Fischwirt,17.7215189873,male,0,Fischwirt,0,Fischwirt,Fischwirtin,Fischwirt,0.868781930627,17.7215189873,0.868781930627
Flachglasmechaniker,22.984008166,male,0,Flachglasmechaniker,0,Flachglasmechaniker,Flachglasmechanikerin,Flachglasmechaniker,0.887076537014,22.984008166,0.887076537014
Flechtwerkgestalter,59.0717299578,male,0,Flechtwerkgestalter,0,Flechtwerkgestalter,Flechtwerkgestalterin,Flechtwerkgestalter,0.7137196632,59.0717299578,0.7137196632
Fleischer,13.9570504204,male,0,Fleischer,0,Fleischer,Fleischerin,Fleischer,0.996963680953,13.9570504204,0.996963680953
Flexograf,44.0740740741,male,0,Flexograf,0,Flexograf,Flexografin,Flexograf,0.836094939543,44.0740740741,0.836094939543
Flugbegleiter,78.2033652524,male,0,Flugbegleiter,0,Flugbegleiter,Flugbegleiterin,Flugbegleiter,0.320552147239,78.2033652524,0.320552147239
Flugdienstberater,30.8085212408,male,0,Flugdienstberater,0,Flugdienstberater,Flugdienstberaterin,Flugdienstberater,0.945337620579,30.8085212408,0.945337620579
Fluggerätelektroniker,4.35011032889,male,0,Fluggerätelektroniker,0,Fluggerätelektroniker,Fluggerätelektronikerin,Fluggerätelektroniker,0.917510853835,4.35011032889,0.917510853835
Fluggerätmechaniker,7.47075732134,male,0,Fluggerätmechaniker,0,Fluggerätmechaniker,Fluggerätmechanikerin,Fluggerätmechaniker,0.930424291172,7.47075732134,0.930424291172
Flugingenieur,7.47075732134,male,0,Flugingenieur,0,Flugingenieur,Flugingenieurin,Flugingenieur,0.93818753274,7.47075732134,0.93818753274
Fluglehrer,5.5737704918,male,0,Fluglehrer,0,Fluglehrer,Fluglehrerin,Fluglehrer,0.922978831931,5.5737704918,0.922978831931
Fluglotse,30.8085212408,male,0,Fluglotse,0,Fluglotse,Fluglotsin,Fluglotse,0.791798107256,30.8085212408,0.791798107256
Fondsmanager,44.3380220021,male,0,Fondsmanager,0,Fondsmanager,Fondsmanagerin,Fondsmanager,0.960018382353,44.3380220021,0.960018382353
Former,4.20514511873,male,0,Former,0,Former,Formerin,Former,0.999520714136,4.20514511873,0.999520714136
Formstecher,50.1462693284,male,0,Formstecher,0,Formstecher,Formstecherin,Formstecher,0.999018485195,50.1462693284,0.999018485195
Forstfacharbeiter,5.09963399756,male,0,Forstfacharbeiter,0,Forstfacharbeiter,Forstfacharbeiterin,Forstfacharbeiter,0.892271662763,5.09963399756,0.892271662763
Forstwirt,5.09963399756,male,0,Forstwirt,0,Forstwirt,Forstwirtin,Forstwirt,0.873268058378,5.09963399756,0.873268058378
Fotograf,64.1671278362,male,0,Fotograf,0,Fotograf,Fotografin,Fotograf,0.920249113398,64.1671278362,0.920249113398
Fotogravurzeichner,50.1462693284,male,0,Fotogravurzeichner,0,Fotogravurzeichner,Fotogravurzeichnerin,Fotogravurzeichner,0.619402985075,50.1462693284,0.619402985075
Fotolaborant,57.881773399,male,0,Fotolaborant,0,Fotolaborant,Fotolaborantin,Fotolaborant,0.281464530892,57.881773399,0.281464530892
Fotomedienfachmann,39.4658181468,male,0,Fotomedienfachmann,0,Fotomedienfachmann,Fotomedienfachfrau,Fotomedienfachmann,0.388684790595,39.4658181468,0.388684790595
Fotomedienlaborant,57.881773399,male,0,Fotomedienlaborant,0,Fotomedienlaborant,Fotomedienlaborantin,Fotomedienlaborant,0.339285714286,57.881773399,0.339285714286
Fraud-Analyst,16.5119285462,male,0,Fraud-Analyst,0,Fraud-Analyst,Fraud-Analystin,Fraud-Analyst,0.998173992435,16.5119285462,0.998173992435
Fremdenführer,58.0346820809,male,0,Fremdenführer,0,Fremdenführer,Fremdenführerin,Fremdenführer,0.675698207586,58.0346820809,0.675698207586
Friseur,91.9347511287,male,0,Friseur,0,Friseur,Friseurin,Friseur,0.907918968692,91.9347511287,0.907918968692
Funkelektroniker,11.4381605553,male,0,Funkelektroniker,0,Funkelektroniker,Funkelektronikerin,Funkelektroniker,0.906371911573,11.4381605553,0.906371911573
Funker,45.3608247423,male,0,Funker,0,Funker,Funkerin,Funker,0.997006774743,45.3608247423,0.997006774743
Futtermeister,31.1584553928,male,0,Futtermeister,0,Futtermeister,Futtermeisterin,Futtermeister,0.904761904762,31.1584553928,0.904761904762
Fußballtrainer,7.80452224654,male,0,Fußballtrainer,0,Fußballtrainer,Fußballtrainerin,Fußballtrainer,0.966685033696,7.80452224654,0.966685033696
Färber,43.0767459267,male,0,Färber,0,Färber,Färberin,Färber,0.970854988281,43.0767459267,0.970854988281
Förderlehrer,76.2119908204,male,0,Förderlehrer,0,Förderlehrer,Förderlehrerin,Förderlehrer,0.181166837257,76.2119908204,0.181166837257
Fördermaschinist,7.26492128967,male,0,Fördermaschinist,0,Fördermaschinist,Fördermaschinistin,Fördermaschinist,0.943548387097,7.26492128967,0.943548387097
Förster,5.09963399756,male,0,Förster,0,Förster,Försterin,Förster,0.977981538839,5.09963399756,0.977981538839
Galerist,70.4447632712,male,0,Galerist,0,Galerist,Galeristin,Galerist,0.563909774436,70.4447632712,0.563909774436
Galvaniseur,12.6353874883,male,0,Galvaniseur,0,Galvaniseur,Galvaniseurin,Galvaniseur,0.900610287707,12.6353874883,0.900610287707
Gardemanger,55.289532294,male,0,Gardemanger,0,Gardemanger,Gardemangerin,Gardemanger,0.999378431576,55.289532294,0.999378431576
Gartenbaufachwerker,21.8356761854,male,0,Gartenbaufachwerker,0,Gartenbauwerker,Gartenbauwerkerin,Gartenbauwerker,0.894230769231,21.8356761854,0.894230769231
Gastwirt,46.9442078365,male,0,Gastwirt,0,Gastwirt,Gastwirtin,Gastwirt,0.831166062673,46.9442078365,0.831166062673
Gebäudereiniger,61.5522574535,male,0,Gebäudereiniger,0,Gebäudereiniger,Gebäudereinigerin,Gebäudereiniger,0.93583918491,61.5522574535,0.93583918491
Gefahrgutbeauftragter,13.8408304498,male,0,Gefahrgutbeauftragter,0,Gefahrgutbeauftragter,Gefahrgutbeauftragte,Gefahrgutbeauftragter,0.0600112170499,13.8408304498,0.0600112170499
Gehilfe,76.2525479477,male,0,Gehilfe,0,Gehilfe,Gehilfin,Gehilfe,0.550387596899,76.2525479477,0.550387596899
Geigenbauer,29.8076923077,male,0,Geigenbauer,0,Geigenbauer,Geigenbauerin,Geigenbauer,0.901108269395,29.8076923077,0.901108269395
Gelbgießer,4.20514511873,male,0,Gelbgießer,0,Gelbgießer,Gelbgießerin,Gelbgießer,0.993846153846,4.20514511873,0.993846153846
Geograph,42.5909494232,male,0,Geograph,0,Geograph,Geographin,Geograph,0.977785233714,42.5909494232,0.977785233714
Geologe,30.4119850187,male,0,Geologe,0,Geologe,Geologin,Geologe,0.7056,30.4119850187,0.7056
Geomatiker,47.4680548982,male,0,Geomatiker,0,Geomatiker,Geomatikerin,Geomatiker,0.69801980198,47.4680548982,0.69801980198
Geprüfter Logistikmeister,10.4299504862,male,0,Geprüfter Logistikmeister,0,Logistikmeister,Logistikmeisterin,Logistikmeister,0.892498292849,10.4299504862,0.892498292849
Geprüfter Technischer Betriebswirt,62.1600224791,male,0,Geprüfter Technischer Betriebswirt,0,Technischer Betriebswirt,Technische Betriebswirtin,Technischer Betriebswirt,0.902993734045,62.1600224791,0.902993734045
Gerichtsvollzieher,27.2030651341,male,0,Gerichtsvollzieher,0,Gerichtsvollzieher,Gerichtsvollzieherin,Gerichtsvollzieher,0.867293849334,27.2030651341,0.867293849334
Gerätezusammensetzer,21.0325537037,male,0,Gerätezusammensetzer,0,Gerätezusammensetzer,Gerätezusammensetzerin,Gerätezusammensetzer,0.890025575448,21.0325537037,0.890025575448
Gerüstbauer,0.170745589072,male,0,Gerüstbauer,0,Gerüstbauer,Gerüstbauerin,Gerüstbauer,0.984011203828,0.170745589072,0.984011203828
Gestaltungs- und medientechnischer Assistent,57.881773399,male,0,Gestaltungs- und medientechnischer Assistent,0,Foto- und medientechnischer Assistent,Foto- und medientechnische Assistentin,Foto- und medientechnischer Assistent,0.28813559322,57.881773399,0.28813559322
Gestaltungstechnischer Assistent,34.9566605839,male,0,Gestaltungstechnischer Assistent,0,Gestaltungstechnischer Assistent,Gestaltungstechnische Assistentin,Gestaltungstechnischer Assistent,0.152542372881,34.9566605839,0.152542372881
Gesundheits- und Krankenpflegehelfer,84.9596721778,male,0,Gesundheits- und Krankenpflegehelfer,0,Gesundheits- und Krankenpflegehelfer,Gesundheits- und Krankenpflegehelferin,Gesundheits- und Krankenpflegehelfer,0.756713037852,84.9596721778,0.756713037852
Gesundheits- und Krankenpfleger,84.9596721778,male,0,Gesundheits- und Krankenpfleger,0,Gesundheits- und Krankenpfleger,Gesundheits- und Krankenpflegerin,Gesundheits- und Krankenpfleger,0.495477386935,84.9596721778,0.495477386935
Gewässerschutzbeauftragter,26.1261261261,male,0,Gewässerschutzbeauftragter,0,Gewässerschutzbeauftragter,Gewässerschutzbeauftragte,Gewässerschutzbeauftragter,0.136929460581,26.1261261261,0.136929460581
Glasapparatebauer,21.9696969697,male,0,Glasapparatebauer,0,Glasapparatebauer,Glasapparatebauerin,Glasapparatebauer,0.751336898396,21.9696969697,0.751336898396
Glasbläser,27.8772378517,male,0,Glasbläser,0,Glasbläser,Glasbläserin,Glasbläser,0.899340922708,27.8772378517,0.899340922708
Glaser,3.06442138242,male,0,Glaser,0,Glaser,Glaserin,Glaser,0.998439574579,3.06442138242,0.998439574579
Glasmacher,17.5054582097,male,0,Glasmacher,0,Glasmacher,Glasmacherin,Glasmacher,0.982474675284,17.5054582097,0.982474675284
Glasschneider,22.984008166,male,0,Glasschneider,0,Glasschneider,Glasschneiderin,Glasschneider,0.999666722213,22.984008166,0.999666722213
Glasveredler,22.984008166,male,0,Glasveredler,0,Glasveredler,Glasveredlerin,Glasveredler,0.74689193497,22.984008166,0.74689193497
Gleisbauer,0.642715886618,male,0,Gleisbauer,0,Gleisbauer,Gleisbauerin,Gleisbauer,0.923895462671,0.642715886618,0.923895462671
Goldschläger,60.9995903318,male,0,Goldschläger,0,Goldschläger,Goldschlägerin,Goldschläger,0.997067926372,60.9995903318,0.997067926372
Goldschmied,60.9995903318,male,0,Goldschmied,0,Goldschmied,Goldschmiedin,Goldschmied,0.940503432494,60.9995903318,0.940503432494
Grafiker,48.9152458611,male,0,Grafiker,0,Grafiker,Grafikerin,Grafiker,0.795407098121,48.9152458611,0.795407098121
Graveur,26.9543973941,male,0,Graveur,0,Graveur,Graveurin,Graveur,0.997813925128,26.9543973941,0.997813925128
Gruppenleiter,25.9924816691,male,0,Gruppenleiter,0,Gruppenleiter,Gruppenleiterin,Gruppenleiter,0.620057859209,25.9924816691,0.620057859209
Gärtner,21.8356761854,male,0,Gärtner,0,Gärtner,Gärtnerin,Gärtner,0.701466781708,21.8356761854,0.701466781708
Gürtler,14.0532544379,male,0,Gürtler,0,Gürtler,Gürtlerin,Gürtler,0.99887832727,14.0532544379,0.99887832727
Hafenarbeiter,24.9768310941,male,0,Hafenarbeiter,0,Hafenarbeiter,Hafenarbeiterin,Hafenarbeiter,0.987432412684,24.9768310941,0.987432412684
Hafenschiffer,5.69221386461,male,0,Hafenschiffer,0,Hafenschiffer,Hafenschifferin,Hafenschiffer,0.792642140468,5.69221386461,0.792642140468
Handelsfachwirt,49.2979461483,male,0,Handelsfachwirt,0,Handelsfachwirt,Handelsfachwirtin,Handelsfachwirt,0.792807300054,49.2979461483,0.792807300054
Handelsvertreter,34.1969853683,male,0,Handelsvertreter,0,Handelsvertreter,Handelsvertreterin,Handelsvertreter,0.941627504328,34.1969853683,0.941627504328
Handschuhmacher,48.3291210334,male,0,Handschuhmacher,0,Handschuhmacher,Handschuhmacherin,Handschuhmacher,0.892573900505,48.3291210334,0.892573900505
Handwerksmeister,7.61356849122,male,0,Handwerksmeister,0,Handwerksmeister,Handwerksmeisterin,Handwerksmeister,0.965373905323,7.61356849122,0.965373905323
Handzuginstrumentenmacher,33.0882352941,male,0,Handzuginstrumentenmacher,0,Handzuginstrumentenmacher,Handzuginstrumentenmacherin,Handzuginstrumentenmacher,0.906950028719,33.0882352941,0.906950028719
Haus- und Familienpfleger,81.0310203384,male,0,Haus- und Familienpfleger,0,Haus- und Familienpfleger,Haus- und Familienpflegerin,Haus- und Familienpfleger,0.572212065814,81.0310203384,0.572212065814
Haushälterin,93.6919095072,female,2,Haushälterin,0,Haushälterin,Haushälter,Haushälter,-0.807228915663,93.6919095072,-0.807228915663
Hauslehrer,75.0819356083,male,0,Hauslehrer,0,Hauslehrer,Hauslehrerin,Hauslehrer,0.787982413288,75.0819356083,0.787982413288
Hausmeister,6.86331637035,male,0,Hausmeister,0,Hausmeister,Hausmeisterin,Hausmeister,0.934512608205,6.86331637035,0.934512608205
Haustechniker,6.86331637035,male,0,Haustechniker,0,Haustechniker,Haustechnikerin,Haustechniker,0.945583302274,6.86331637035,0.945583302274
Hebamme,99.8431372549,female,2,Hebamme,0,Hebamme,Entbindungspfleger,Entbindungspfleger,-0.908827044562,99.8431372549,-0.908827044562
Heilgehilfe,84.9596721778,male,0,Heilgehilfe,0,Heilgehilfe,Heilgehilfin,Heilgehilfe,0.796875,84.9596721778,0.796875
Heilpraktiker,76.6557645135,male,0,Heilpraktiker,0,Heilpraktiker,Heilpraktikerin,Heilpraktiker,0.599147121535,76.6557645135,0.599147121535
Heizer,12.501779731,male,0,Heizer,0,Heizer,Heizerin,Heizer,0.994297010304,12.501779731,0.994297010304
Hilfspolizei,37.7005047672,neutral,1,Hilfspolizei,0,Hilfspolizist,Politesse,Hilfspolizist,0.810561609388,37.7005047672,0.810561609388
Historiker,49.6703296703,male,0,Historiker,0,Historiker,Historikerin,Historiker,0.832309360318,49.6703296703,0.832309360318
Hochbaufacharbeiter,2.24141793831,male,0,Hochbaufacharbeiter,0,Hochbaufacharbeiter,Hochbaufacharbeiterin,Hochbaufacharbeiter,0.906492648274,2.24141793831,0.906492648274
Holz- und Bautenschützer,1.22249388753,male,0,Holz- und Bautenschützer,0,Holz- und Bautenschützer,Holz- und Bautenschützerin,Holz- und Bautenschützer,0.902813299233,1.22249388753,0.902813299233
Holzbearbeitungsmechaniker,11.5013019049,male,0,Holzbearbeitungsmechaniker,0,Holzbearbeitungsmechaniker,Holzbearbeitungsmechanikerin,Holzbearbeitungsmechaniker,0.9256381798,11.5013019049,0.9256381798
Holzblasinstrumentenmacher,29.4294294294,male,0,Holzblasinstrumentenmacher,0,Holzblasinstrumentenmacher,Holzblasinstrumentenmacherin,Holzblasinstrumentenmacher,0.845556095192,29.4294294294,0.845556095192
Holzfäller,5.09963399756,male,0,Holzfäller,0,Holzfäller,Holzfällerin,Holzfäller,0.989187144366,5.09963399756,0.989187144366
Holzmechaniker,6.89245395128,male,0,Holzmechaniker,0,Holzmechaniker,Holzmechanikerin,Holzmechaniker,0.892493638677,6.89245395128,0.892493638677
Holzspielzeugmacher,60.4,male,0,Holzspielzeugmacher,0,Holzspielzeugmacher,Holzspielzeugmacherin,Holzspielzeugmacher,0.924603174603,60.4,0.924603174603
Holztechniker,11.5013019049,male,0,Holztechniker,0,Holztechniker,Holztechnikerin,Holztechniker,0.915865151074,11.5013019049,0.915865151074
Honorarprofessor,42.812488391,male,0,Honorarprofessor,0,Honorarprofessor,Honorarprofessorin,Honorarprofessor,0.834666666667,42.812488391,0.834666666667
Host,58.3260838046,neutral,1,Host,1,Host,Hostess,Host,0.87717553456,58.3260838046,0.87717553456
Hoteldiener,79.2351889413,male,0,Hoteldiener,0,Hoteldiener,Hoteldienerin,Hoteldiener,0.944121071013,79.2351889413,0.944121071013
Hotelkaufmann,71.6330078909,male,0,Hotelkaufmann,0,Hotelkaufmann,Hotelkauffrau,Hotelkaufmann,0.250909090909,71.6330078909,0.250909090909
Hotelmeister,66.5682062299,male,0,Hotelmeister,0,Hotelmeister,Hotelmeisterin,Hotelmeister,0.560857258391,66.5682062299,0.560857258391
Humorist,54.5454545455,male,0,Humorist,0,Humorist,Humoristin,Humorist,0.990159359624,54.5454545455,0.990159359624
Hundeführer,37.7005047672,male,0,Hundeführer,0,Hundeführer,Hundeführerin,Hundeführer,0.85002895194,37.7005047672,0.85002895194
Hörgeräteakustiker,66.1900571931,male,0,Hörgeräteakustiker,0,Hörgeräteakustiker,Hörgeräteakustikerin,Hörgeräteakustiker,0.951318458418,66.1900571931,0.951318458418
IT-Berater,19.8526233052,male,0,IT-Berater,0,IT-Berater,IT-Beraterin,IT-Berater,0.93930938263,19.8526233052,0.93930938263
IT-Systemkaufmann,21.9930782724,male,0,IT-Systemkaufmann,0,IT-System-Kaufmann,IT-System-Kauffrau,IT-System-Kaufmann,0.805186849091,21.9930782724,0.805186849091
Illusionist,19.2592592593,male,0,Illusionist,0,Illusionist,Illusionistin,Illusionist,0.99785970377,19.2592592593,0.99785970377
Imker,28.5714285714,male,0,Imker,0,Imker,Imkerin,Imker,0.938721204288,28.5714285714,0.938721204288
Immissionsschutzbeauftragter,26.1261261261,male,0,Immissionsschutzbeauftragter,0,Immissionsschutzbeauftragter,Immissionsschutzbeauftragte,Immissionsschutzbeauftragter,0.565778853914,26.1261261261,0.565778853914
Immobilienkaufmann,57.0449103969,male,0,Immobilienkaufmann,0,Immobilienkaufmann,Immobilienkauffrau,Immobilienkaufmann,0.304635761589,57.0449103969,0.304635761589
Immobilienmakler,57.0449103969,male,0,Immobilienmakler,0,Immobilienmakler,Immobilienmaklerin,Immobilienmakler,0.924528301887,57.0449103969,0.924528301887
Industrie-Isolierer,1.2101210121,male,0,Industrie-Isolierer,0,Industrie-Isolierer,Industrie-Isoliererin,Industrie-Isolierer,0.865778200857,1.2101210121,0.865778200857
Industrieelektriker,4.9236883504,male,0,Industrieelektriker,0,Industrieelektriker,Industrieelektrikerin,Industrieelektriker,0.94282984314,4.9236883504,0.94282984314
Industrieelektroniker,4.9236883504,male,0,Industrieelektroniker,0,Industrieelektroniker,Industrieelektronikerin,Industrieelektroniker,0.956879383496,4.9236883504,0.956879383496
Industriekaufmann,62.1600224791,male,0,Industriekaufmann,0,Industriekaufmann,Industriekauffrau,Industriekaufmann,0.29392971246,62.1600224791,0.29392971246
Industriekeramiker Anlagentechnik,25.5032397408,male,0,Industriekeramiker Anlagentechnik,0,Industriekeramiker Anlagentechnik,Industriekeramikerin Anlagentechnik,Industriekeramiker Anlagentechnik,0.623376623377,25.5032397408,0.623376623377
Industriekeramiker Dekorationstechnik,75.4844144903,male,0,Industriekeramiker Dekorationstechnik,0,Industriekeramiker Dekorationstechnik,Industriekeramikerin Dekorationstechnik,Industriekeramiker Dekorationstechnik,0.529411764706,75.4844144903,0.529411764706
Industriekeramiker Modelltechnik,16.735966736,male,0,Industriekeramiker Modelltechnik,0,Industriekeramiker Modelltechnik,Industriekeramikerin Modelltechnik,Industriekeramiker Modelltechnik,0.539033457249,16.735966736,0.539033457249
Industriekeramiker Verfahrenstechnik,25.5032397408,male,0,Industriekeramiker Verfahrenstechnik,0,Industriekeramiker Verfahrenstechnik,Industriekeramikerin Verfahrenstechnik,Industriekeramiker Verfahrenstechnik,0.60625,25.5032397408,0.60625
Industriemechaniker,13.3411949814,male,0,Industriemechaniker,0,Industriemechaniker,Industriemechanikerin,Industriemechaniker,0.928468850441,13.3411949814,0.928468850441
Industriemeister,7.61356849122,male,0,Industriemeister,0,Industriemeister,Industriemeisterin,Industriemeister,0.928484107579,7.61356849122,0.928484107579
Industrietechnologe,11.4381605553,male,0,Industrietechnologe,0,Industrietechnologe,Industrietechnologin,Industrietechnologe,0.78100863244,11.4381605553,0.78100863244
Informatiker,16.2154269235,male,0,Informatiker,0,Informatiker,Informatikerin,Informatiker,0.877667140825,16.2154269235,0.877667140825
Informatikkaufmann,25.5314765985,male,0,Informatikkaufmann,0,Informatikkaufmann,Informatikkauffrau,Informatikkaufmann,0.611971646101,25.5314765985,0.611971646101
Informationselektroniker,11.4381605553,male,0,Informationselektroniker,0,Informationselektroniker,Informationselektronikerin,Informationselektroniker,0.932181701855,11.4381605553,0.932181701855
Informationstechnischer Assistent,11.4381605553,male,0,Informationstechnischer Assistent,0,Kommunikationstechnischer Assistent,Kommunikationstechnische Assistentin,Kommunikationstechnischer Assistent,0.856209150327,11.4381605553,0.856209150327
Ingenieur,7.47075732134,male,0,Ingenieur,0,Ingenieur,Ingenieurin,Ingenieur,0.962784480636,7.47075732134,0.962784480636
Ingenieurpädagoge,63.6176386302,male,0,Ingenieurpädagoge,0,Ingenieurpädagoge,Ingenieurpädagogin,Ingenieurpädagoge,0.0989010989011,63.6176386302,0.0989010989011
Inspektor,16.2258392675,male,0,Inspektor,0,Inspektor,Inspektorin,Inspektor,0.985070760826,16.2258392675,0.985070760826
Installateur,3.41477678862,male,0,Installateur,0,Installateur,Installateurin,Installateur,0.9983847253,3.41477678862,0.9983847253
Intendant,40.1872883044,male,0,Intendant,0,Intendant,Intendantin,Intendant,0.847076461769,40.1872883044,0.847076461769
Investmentfondskaufmann,44.3380220021,male,0,Investmentfondskaufmann,0,Investmentfondskaufmann,Investmentfondskauffrau,Investmentfondskaufmann,0.804629266379,44.3380220021,0.804629266379
Isolierfacharbeiter,1.2101210121,male,0,Isolierfacharbeiter,0,Isolierfacharbeiter,Isolierfacharbeiterin,Isolierfacharbeiter,0.841726618705,1.2101210121,0.841726618705
Journalist,50.5608415413,male,0,Journalist,0,Journalist,Journalistin,Journalist,0.948460087995,50.5608415413,0.948460087995
Jurist,57.9327818764,male,0,Jurist,0,Jurist,Juristin,Jurist,0.852331606218,57.9327818764,0.852331606218
Justizfachwirt,93.3804860355,male,0,Justizfachwirt,0,Justizfachwirt,Justizfachwirtin,Justizfachwirt,0.178947368421,93.3804860355,0.178947368421
Justiziar,57.9327818764,male,0,Justiziar,0,Justiziar,Justiziarin,Justiziar,0.549783549784,57.9327818764,0.549783549784
Justizwachtmeister,33.389261745,male,0,Justizwachtmeister,0,Justizwachtmeister,Justizwachtmeisterin,Justizwachtmeister,0.72602739726,33.389261745,0.72602739726
Juwelier,60.9995903318,male,0,Juwelier,0,Juwelier,Juwelierin,Juwelier,0.998079623473,60.9995903318,0.998079623473
Jäger,9.27835051546,male,0,Jäger,0,Jäger,Jägerin,Jäger,0.959803185723,9.27835051546,0.959803185723
